Catalog name,Number of alternative names,Metaphorical and non-metaporical names,Species,Abundance,General shape of the tuber,Eye depth,Primary color of tuber skin,Secondary color of the skin of the tuber,Tuber secondary color distribution,Predominant color of the pulp of the tuber,Secondary color of the pulp of the tuber,Distribution of the secondary color of the flesh,Growth habit,Stem color,Stem wings shape,Number of lateral leaflets,Number of interleafs,Dry matter (%),Yield per plant (kg),Number of tubers per plant,Sprouting time,Adaptation range (msnm),Behavior against frost,Late Blight Resistance,Calyx color,Pedicel color,Flowering degree,Corolla shape,Primary color of the flower,Secondary flower color,Distribution of the secondary color of the flower,Anther pigmentation,Pistil pigmentation,Predominant bud color,Secondary bud color,Distribution of the secondary color of the bud,Berry color,Berry shape,Description of the cultivar,Cultural Uses,Culinary Uses,Cooking Time
Tulula,0,No information,Solanum tuberosum (Group: Goniocalyx),Common,Oblong,Deep,Intense yellow,"Red, pale purple",Scattered spots,Light yellow,Absent,Absent,Decumbent,Green,Straight,3 pairs,1 pair,27.46 27.65,0.51 - 1.14,7 - 46,Fast,3700 - 4100,Resistant,Intermediate,Green with abundant spots,Slightly pigmented along length and at joint,Moderate,Very rotated,"Red, intense purple",White,Acumen - back,"Bands and apex, pigmented",No anthocyanins,Pink,White,In buds,Green with pigmented areas,Ovoid,It’s a variety with features similar to the Peruana or Peruanita. Farmers report that it is sensitive to rot under humid conditions. It has a floury texture and a very tasty flavor. Its skin breaks when parboiled and the pulp tends to disintegrate if cooked too long.,,"Parboiled, chuno, puree, dry potato",Fast
Vega Amarilla,2,Direct/Tuber Color,Solanum tuberosum (Group: Goniocalyx),Scarse,Obovate,Superficial,Medium yellow,Absent,Absent,Yellow,Absent,Absent,Semi-erect,Green with many spots,Curly,4 pairs,1 pair,27.61 29.90,0.94 - 1.23,24 - 25,Fast,3600 - 4100,Resistant,Intermediate,Green with abundant spots,Green,Moderate,Very rotated,Pale white,"Blue, purple",Few blemishes or spots,No anthocyanins,No anthocyanins,White,Violet,Many stains throughout,Green,Globose,"It’s cultivated in mixture in small quantities for family consumption. The ladies say: “This variety is easy to cook, it cooks very quickly and opens up like a flower”. Its texture is floury and its flavor is very tasty. The pulp tends to disintegrate if cooked too long.",Family consumption,"Parboiled, chuno",Fast
Cejera,0,No information,Solanum tuberosum (Group: Goniocalyx),Scarse,Obovate reniform,Superficial,Intense blackish,Absent,Absent,White,Purple,Few spots,Decumbent,Green with many spots,Straight,4 pairs,1 pair,20.72 25.15,0.70 - 1.49,21 - 69,Intermediate,3600 - 4100,Resistant,Susceptible,Pigmented with little green,Slightly pigmented along length and at joint,Scarse,Rotated,Medium purple,Absent,Absent,No anthocyanins,Pigmentation on inner wall ovary,Purple,White,At apex,Green with abundant white dots,Ovoid,It is a variety that is commonly grown in mixtures in very small quantities. It is used exclusively for family consumption. Its texture is intermediate: neither floury nor watery. Its skin does not break when parboiled.,Family consumption,Parboiled,Intermediate
Muñecos,0,Indirect/Object,Solanum tuberosum (Group: Andigenum),Scarse,Elongated,Superficial,Pale purple,Medium yellow,Scattered spots,White,Absent,Absent,Semi-erect,Green with few spots,Jagged,4 pairs,2 pairs,18.46 28.60,0.54 - 2.06,42 - 67,Intermediate,3500 - 4100,Resistant,Resistant,Pigmented with little green,Mostly pigmented and green articulation,Moderate,Rotated,Intense lilac,White,Acumen - both,No anthocyanins,Pigmentation on inner wall ovary,Purple,White,In buds,Green with pigmented areas,Ovoid,"It is a rare variety, almost unknown and with a low distribution. The families that have it grow it in mixture only for family consumption. Its tubers grow large and resemble a doll (muñeco), hence its name. It is slightly watery in texture, but has a tasty flavor. When parboiled, its skin does not break.",,Parboiled,Intermediate
Shocpi,1,Indirect/Animal,Solanum tuberosum (Group: Andigenum),Common,Flattened obovate,Superficial,"Red, purple",Medium yellow,Scattered spots,Yellow,Absent,Absent,Decumbent,Green with few spots,Straight,4 pairs,2 pairs,24.80 26.11,1.36 - 1.83,44 - 82,Intermediate,3600 - 4100,Resistant,Resistant,Pigmented with abundant green,Slightly pigmented along length and at joint,Moderate,Rotated,Pale lilac,White,Few blemishes or spots,No anthocyanins,No anthocyanins,White,Pink,At base,Green with few white dots,Globose,"IIt’s an old variety that is grown in mixtures and in small quantities for family consumption. Its skin is tough and easy to peel when cooked. As the community members say, “when it is crushed at either end, the pulp comes off, leaving the whole skin like a hood.” Its texture is intermediate: neither floury nor watery. Its taste is delicious.",Family consumption,Parboiled,Intermediate
Antaquera Rosada,0,Direct/Tuber Color,Solanum tuberosum (Group: Goniocalyx),Common,Compressed,Deep,"Red, intense purple",Absent,Absent,Light yellow,Red,Narrow vascular ring,Decumbent,Green with few spots,Straight,4 pairs,2 pairs,25.29 27.34,1.10 - 1.81,43 - 49,Fast,3500 - 4100,Resistant,Resistant,Green,Green,Moderate,Very rotated,Medium lilac,White,Acumen - back,No anthocyanins,Pigmentation on inner wall ovary,Violet,Absent,Absent,Green with pigmented areas,Ovoid,"It is a very robust variety against diseases and frost. It is cultivated in mixture, exclusively for family consumption. The texture of its pulp is moderately floury and its flavor is very tasty. The skin often breaks when parboiled.",,"Parboiled, chuno, dry potato",Fast
Huascaya Morada,0,Direct/Tuber Color,Solanum tuberosum (Group: Chaucha),Scarse,Obovate,Superficial,Pale blackish,"Red, intense purple",Splattered spots,Light yellow,Absent,Absent,Decumbent,Pigmented with little green,Curly,3 pairs,1 pair,30.88 32.68,0.62 - 1.89,29 - 61,Intermediate,3600 - 4100,Resistant,Resistant,Pigmented with little green,Slightly pigmented along length and at joint,Moderate,Rotated,Purple,White,Acumen - back,Pigmented bands,Pigmented stigma,Purple,Absent,Absent,Green with pigmented bands,Globose,"It is a variety that is cultivated for family consumption in mixtures and in small quantities. It is resistant to pests and diseases. Its texture is floury and its flavor is very tasty. When parboiled, its skin breaks quickly and comes off the pulp.",Family consumption,"Parboiled, chuno",Fast
Shaypa Negra,0,Direct/Tuber Color,Solanum tuberosum (Group: Goniocalyx),Common,Obovate,Medium,"Red, intense purple",Medium blackish,Splattered spots,White,Violet,Few spots,Semi-erect,Green with few spots,Jagged,5 pairs,2 pairs,31.00 33.43,1.21 - 1.68,30 - 57,Intermediate,3600 - 4100,Resistant,Resistant,Pigmented with little green,Fully pigmented,Moderate,Rotated,Lilac,Absent,Absent,No anthocyanins,Pigmentation on inner wall ovary,Violet,Pink,At apex,Green with abundant white dots,Globose,"It is an old variety that is cultivated in small quantities in mixtures for family consumption. The community members say: “this potato is characterized by the fact that it cooks quickly and is also very good for grilling on charcoal”. It has a floury texture and a very tasty flavor. When parboiled, its skin breaks quickly",Family consumption,"Parboiled, chuno, soup, dry potato, roast",Fast
Huascaya Redonda,0,Direct/Tuber Shape,Solanum tuberosum (Group: Andigenum),Scarse,Oblong,Medium,"Red, medium purple",Absent,Absent,White,Red,Few spots,Decumbent,Green with many spots,Jagged,4 pairs,2 pairs,29.59 30.69,1.01 - 1.80,50 - 82,Intermediate,3600 - 3900,Susceptible,Susceptible,Pigmented with little green,Slightly pigmented along length and at joint,Moderate,Pentagonal,Pale purple,White,Acumen - back,No anthocyanins,Pigmentation on inner wall ovary,Pink,White,At apex,Green,Globose,"It is an old variety that produces many tubers. Some producers say: “it’s hardly cultivated by families because it produces a lot of seeds”, referring to the large number of small tubers. It has a floury texture and its flavor is very tasty. Its skin breaks quickly when parboiled.",,"Parboiled, chuno, dry potato",Fast
Yuca Colorada,0,Indirect/Crop and Color,Solanum tuberosum (Group: Chaucha),Common,Obovate,Superficial,"Red, intense purple",Absent,Absent,Cream,Absent,Absent,Semi-erect,Green with many spots,Straight,4 pairs,1 pair,23.21 28.11,0.74 - 0.88,19 - 25,Intermediate,3500 - 4100,Resistant,Resistant,Purple,Fully pigmented,Moderate,Rotated,Medium purple,White,Acumen - back,No anthocyanins,Pigmentation on inner wall ovary,Red,Absent,Absent,Green,Globose,"It is a variety that is cultivated in small quantities and in mixture for family consumption. Some farmers confuse it with the Huayra Colorada variety due to the color and shape of the tuber. It has a floury texture and a very tasty flavor. When parboiled, its skin breaks quickly and the pulp disintegrates if it is left to cook for too long.",Family consumption,"Parboiled, dry potato",Fast
Curau Negro,2,Direct/Origin and Tuber Color,Solanum tuberosum (Group: Andigenum),Common,Obovate,Superficial,Pale purple,Medium blackish,Splattered spots,Cream,Violet,Few spots,Semi-erect,Green with few spots,Straight,4 pairs,2 pairs,21.32 29.38,0.23 - 1.66,11 - 62,Intermediate,3400 - 4100,Susceptible,Resistant,Green with abundant spots,Pigmented joint only,Moderate,Pentagonal,Pale purple,White,Bands on both sides,Pigmented bands,Pigmentation on inner wall ovary,Purple,White,At apex,Green,Globose,"The name ‘curau’ may refer to a possible semi-wild origin, since the name is also assigned to a ‘weed potato’ that commonly grows in corn fields. It is also known as Inocenta for being the name of the lady who owned this variety. Cultivated in mixture for family consumption, it is a rare and very old variety. Its flavor and texture depend a lot on the environment where it is grown. The skin often breaks when parboiled",Family consumption,"Parboiled, dry potato",Intermediate
Pelleja Jovera,0,Direct/Tuber Skin and Tuber Color,Solanum tuberosum (Group: Chaucha),Common,Round,Deep,Medium yellow,"Red, intenso purple",Scattered spots,Intense yellow,Absent,Absent,Decumbent,Green with few spots,Jagged,5 pairs,1 pair,28.75 32.70,0.87 - 1.98,41 - 67,Fast,3500 - 4100,Resistant,Intermediate,Green with few spots,Green,Scarse,Rotated,Intense lilac,White,Acumen - back,No anthocyanins,No anthocyanins,Pink,White,Few spots throughout,,,"It belongs to the group of pellejas and owes its name to the spots on the skin (pellejo) of the tuber. It is an old variety that is grown in a mixture for family consumption. It is appreciated for bartering with corn, wheat, peas, lentils or sugar. It cooks quickly. The women say: “when preparing potato soup with noodles, you have to cook the noodles first and then add the potatoes because if they are added together the potatoes will completely desintegrate”. When parboiled, its skin breaks, its texture is mealy and its flavor is very tasty.",Family consumption,"Parboiled, chuno, dry potato",Fast
Huacrachuquina,0,Indirect/Body parts,NN NN NN,Scarse,Obovate flattened,Superficial,Intense pink,Intense purple,In eyes,Cream,Absent,Absent,Decumbent,Pigmented with abundant green,Curly,4 pairs,2 pairs,24.53 26.15,0.99 - 1.81,22 - 29,Intermediate,3600 - 3900,Resistant,Resistant,Green with few spots,Slightly pigmented along length and at joint,Moderate,Pentagonal,Medium purple,Absent,Absent,No anthocyanins,No anthocyanins,Purple,White,At apex,Green with few white dots,Ovoid,"This variety is scarce and not well known in the annexes. The few families that cultivate it do so in mixture and only for consumption. Its tubers are generally large, up to 15 cm long in the shape of a chub. The pulp is of intermediate texture: neither floury nor watery.",,"Parboiled, peeled, soup",Intermediate
Tatush Blanca,0,Direct/Tuber Color,NN NN NN,Scarse,Compressed,Deep,Pale yellow,Pale purple,Scattered spots,White,Absent,Absent,Semi-erect,Green with few spots,Jagged,4 pairs,2 pairs,22.32 24.43,1.13 - 2.12,49 - 65,Intermediate,3600 - 4100,Resistant,Susceptible,Pigmented with little green,Slightly pigmented along length and at joint,Moderate,Rotated,Intense purple,Absent,Absent,No anthocyanins,No anthocyanins,White,Purple,Few spots throughout,Green,Globose,"It is a very rare variety and is only grown in mixture for family consumption. It was collected in the annex of Huarimarca. It is said to be ‘white’ (blanca) because of the color of the pulp. Due to the depth of its eyes, it is only prepared parboiled or in chuno since it is difficult to peel. The pulp texture is more or less mealy and its flavor is tasty. When cooked, its skin breaks.",Family consumption,"Parboiled, chuno, dry potato",Intermediate
Habilla Negra,0,Indirect/Plant and Color,NN NN NN,Common,Flattened round,Superficial,"Intense purple Rojo,","Red, medium purple",Scattered spots,Light yellow,Violet,Few spots,Semi-erect,Pigmented with little green,Straight,3 pairs,1 pair,26.34 28.64,0.80 - 1.83,30 - 67,Intermediate,3500 - 4100,Resistant,Susceptible,Pigmented with little green,Slightly pigmented along length and at joint,Moderate,Pentagonal,Intense violet,Absent,Absent,Pigmented spot on apex,No anthocyanins,White,Purple,At base,Green with pigmented areas,Globose,"They say that its name comes from the flattened shape of the tuber, similar to the seed of the broad bean plant (Hura crepitans), and to the dark spots on its skin. Produces a large number of tubers, but small in size. It has a floury texture and a very tasty flavor. When parboiled, its skin breaks quickly.",,"Parboiled, peeled, dry potato, soup",Fast
Amelia,1,No information,NN NN NN,Scarse,Round,Medium,"Pale yellow Rojo,","Red, medium purple",Splattered spots,Yellow,Absent,Absent,Semi-erect,Green with few spots,Curly,4 pairs,2 pairs,25.76 27.82,1.23 - 2.13,47 - 60,Late,3500 - 4100,Resistant,Intermediate,Pigmented with little green,Fully pigmented,Scarse,Very rotated,Medium purple,Absent,Absent,No anthocyanins,No anthocyanins,Red,White,At apex,Green with pigmented bands,Globose,"It is a rare variety that is grown in mixture for family consumption. It is not well known by the producers. It’s moderately susceptible to blight and its tubers are usually small. Its texture is floury and its flavor is very tasty. When parboiled, its skin breaks quickly.",Family consumption,"Parboiled, chuno",Fast
Cluvista,1,Direct/Origin,NN NN NN,Scarse,Round,Superficial,"Pale yellow Rojo,","Red, medium purple",In eyes,White,Absent,Absent,Decumbent,Green,Straight,4 pairs,2 pairs,25.96 26.99,0.87 - 1.96,29 - 63,Intermediate,3500 - 3800,Resistant,Resistant,Pigmeted with little green,Slightly pigmented along length and at joint,Moderate,Rotated,Intense lilac,Absent,Absent,No anthocyanins,No anthocyanins,Pink,White,At apex,Green,Conical,"It is a rare variety. The few farmers who grow it do so in mixture for family consumption. It is characterized by having large and wide leaves. Because of the superficial eyes of the tuber, it is eaten peeled and fried. Its taste is good. When parboiled, its skin usually breaks.",,"Parboiled, peeled, fry",Intermediate
Renacimiento Blanco,0,Western Name,NN NN NN,Common,Flattened round,Superficial,Medium yellow,Absent,Absent,White,Absent,Absent,Semi-erect,Green,Straight,4 pairs,1 pair,22.44 23.55,1.07 - 1.94,29 - 96,Intermediate,3600 - 4100,Resistant,Resistant,Green with abundant spots,Slightly pigmented along length and at joint,Scarse,Starry,Intense purple,Absent,Absent,No anthocyanins,No anthocyanins,White,Purple,Few spots throughout,Green,Ovoid with terminal mucron,"Similar to an improved variety, formally launched by the Ministry of Agriculture of Peru in 1952. It is confused with a native potato and is cultivated in mixture with ancestral varieties. It’s a variety cultivated in mixture and for family consumption. The community members say: “this potato must be covered so that it doesn’t get sunlight, because it quickly becomes bitter”. It is eaten peeled, like potato chips. It is also dried and eaten in soup. It is watery in texture, but its flavor is tasty but if stored it becomes vinegary.",Introduced by the Government,"Peeled, fry, parboiled",Slow
Curau Aliso,0,Direct/Origin,NN NN NN,Common,Round,Medium,"Red, intense purple",Absent,Absent,Cream,Red,Areas,Decumbent,Green with many spots,Jagged,4 pairs,2 pairs,24.93 26.12,0.94 - 1.90,33 - 43,Intermediate,3400 - 4100,Intermediate,Intermediate,Pigmented with little green,Slightly pigmented along length and at joint,Moderate,Very rotated,Intense lilac,Absent,Absent,No anthocyanins,Pigmentation on inner wall ovary,Red,White,At apex,Green,Globose,"This variety owes its name to the similarity of its color with that of the red alder. The name ‘curau’ may refer to a possible semiwild origin, since this is also the name of a ‘weedy potato’ that commonly grows in corn fields. It is cultivated in mixture and in small quantities. It is moderately floury and has a tasty flavor. It is generally prepared parboiled and also roasted. The community members say that “it is not good for chuno since it comes out vinegary”.",,"Parboiled, roast, dry potato",Slow
