Catalog name,Number of alternative names,Metaphorical and non-metaporical names,Species,Abundance,General shape of the tuber,Eye depth,Primary color of tuber skin,Secondary color of the skin of the tuber,Tuber secondary color distribution,Predominant color of the pulp of the tuber,Secondary color of the pulp of the tuber,Distribution of the secondary color of the flesh,Growth habit,Stem color,Stem wings shape,Number of lateral leaflets,Number of interleafs,Yield per plant (kg),Number of tubers per plant,Sprouting time,Adaptation range (msnm),Behavior against frost,Late Blight Resistance,Calyx color,Pedicel color,Flowering degree,Corolla shape,Primary flower color,Secondary flower color,Distribution of the secondary color of the flower,Anther pigmentation,Pistil pigmentation,Predominant bud color,Secondary bud color,Distribution of the secondary color of the bud,Description of the cultivar,Cultural Uses,Culinary Uses,Cooking Time
Runtus,2,Indirect/Food,Solanum tuberosum (Group Goniocalyx),Abundant ,Round ,Average,Intermediate orange,Absent,Absent ,deep yellow,Absent,Absent   ,Decumbent,Green   ,Straight,5 pairs,4 pairs,0.26 kg,17,Early,4000 - 4200 msnm,Tolerant,Susceptible,"Green, with few spots ",Green      ,Moderate,Rotated ,Intermediate white,Absent,Absent      ,Without anthocyanins   ,Without anthocyanins  ,White,Red,Many stains throughout,"It is a variety used in various ways and highly appreciated for its intense yellow color and high dry matter content. It resembles the yolk of a chicken egg, hence its name. It has an appreciable commercial value, which is why it is planted both in chaqru and separately, for sale in the markets. This variety should be planted in red-yellowish soils (here allpa), because its production decreases in black soils.",Commercial,"Parboiled, causa, puree, baby food",Short
Ruyru Huayro,0,Direct/Tuber Shape,Solanum tuberosum (Group Chaucha),Scarce ,Round ,Deep,Intense red-purple,Absent,Absent ,Yellow ,Red,narrow vascular ring ,Decumbent,"Green, with many spots",Straight,4 pairs,2 pairs,1.0 kg,18,Intermediate,4000 - 4200 msnm,Susceptible,Susceptible,"Green, with abundant spots ",Lightly pigmented along length and joint,Moderate,Very rotated,light purple,White,Acumen - underside    ,Pigmented bands   ,Pigmented inner ovary wall,Red,Absent,Absent    ,It is a variety of the huayro group. Its tubers are similar to a dice. In Huancavelica its use in meals during wakes is reported. It is planted only in chaqru.,,"Parboiled, chuño, puree",Intermediate
Ruyru Puqya,1,Indirect/Body parts,Solanum tuberosum (Group Stenotomum),Abundant ,Round ,Average,light red,Absent,Absent ,Cream ,Absent,Absent   ,Decumbent,"Green, with many spots",Straight,6 pairs,2 pairs,0.26 kg,17,Intermediate,4000 - 4200 msnm,Tolerant,Resistant,"Green, with abundant spots ",Lightly pigmented along length and joint,Moderate,Rotated ,Intermediate white,Absent,Absent      ,Without anthocyanins   ,Pigmented inner ovary wall,Purple,White,At base   ,"It is a variety that has been grown for many generations in Huancavelica, it is very rustic and tolerates frost and hail. It is planted alone and in chaqru. Its narrow leaflets resemble those of oregano, according to farmers. Its foliage closes at night when it is cold. If the tubers are consumed cold they cause colic; Furthermore, they lose their flavor and become tasteless. The thick skin of the tuber makes it difficult to make chuño.",,"Parboiled, chuño",Intermediate
Sangre de Toro,2,Indirect/Animal,Solanum tuberosum (Group Goniocalyx),Common ,Round ,Average,Intense red-purple,Yellow,like glasses,Purple ,Cream,Everything but medulla ,Semi-erect,"Green, with many spots",Straight,5 pairs,2 pairs,0.56 kg,13,Early,3500 - 4200 msnm,Tolerant,Susceptible,"Pigmented, with abundant green ",Lightly pigmented along length and joint,Profuse,Pentagonal ,Intermediate red-purple,White,in star     ,Without anthocyanins   ,Pigmented inner ovary wall,Red,White,in buds   ,"It is a variety with commercial value for farmers, since it is demanded by flake companies. It was introduced around 2002 and promoted by MINAGRI, NGOs and chip processing companies. It has quickly become a popular and common variety in Huancavelica. It is a variety susceptible to humid soils and in storage it is susceptible to the moth (Symmetrischema tangolias).","Introduced by the Government, NGOs and Potato Chips Companies","Parboiled, pachamanca, causa, flakes, vodka",Intermediate
Saywa Papa,1,Indirect/Boundary,Solanum tuberosum (Group Chaucha),Common ,Oblong ,Average,Light red-purple,Absent,Absent ,Yellow ,Absent,Absent   ,Semi-erect,"Green, with many spots",Absent,4 pairs,Absent ,0.65 kg,21,Early,3900 - 4300 msnm,Tolerant,Resistant,Pigmented with abundant green ,Lightly pigmented along length and joint,Moderate,Rotated ,light purple,White,Acumen - underside    ,Without anthocyanin   ,Pigmented inner ovary wall,Red,Absent,Absent    ,"It is a native variety that is planted in chaqru. This parboiled variety has a spicy flavor, so it is only used for chuño, stews and soups.",,"Parboiled, soups, chuño",Intermediate
Seda Monillo,2,Indirect/Object,Solanum tuberosum (Group Goniocalyx),Scarce ,Oblong ,Deep,deep brown,Red,Splattered stains,Yellow ,Absent,Absent   ,Decumbent,"Pigmented, with little green",Straight,4 pairs,3 pairs,0.65 kg,14,Intermediate,3800 - 4200 msnm,Tolerant,Susceptible,"Pigmented, with abundant green ",Fully pigmented     ,Moderate,Pentagonal ,Intense red-purple,Absent,Absent      ,Without anthocyanins   ,Without anthocyanins  ,Red,White,in buds   ,"It is a variety that is commonly planted in chaqru. It belongs to the group of yellow potatoes and lends itself to the preparation of causes and as an ingredient in chicken broth. According to the farmers, its name is due to the resemblance that its flowers have to the decorations of the typical blouses worn by the pasñas or young ladies of the place.",,"Parboiled, cause, pachamanca",Intermediate
Sirina,1,Indirect/Folklore,Solanum tuberosum (Group Chaucha),Abundant ,Oblong ,Superficial,Intense red-purple,Brown,like glasses,White ,Absent,Absent   ,Semi-erect,"Green, with few spots",Straight,5 pairs,4 pairs,1.45 kg,19,Intermediate,3900 - 4200 msnm,Tolerant,Susceptible,"Pigmented, with abundant green ",Lightly pigmented along length and joint,Profuse,Rotated ,Light blue-purple,White,Acumen - underside    ,Without anthocyanins   ,Without anthocyanins  ,Purple,White,in buds   ,"Farmers mention that its name sirina is derived from mermaid. The legend is well known according to which in the rivers and lagoons of enchanted areas lives a girl with half the body of a fish, this potato is similar. It has a very floury texture.",,"Parboiled, chuño",Short
Sortiguillas,1,Indirect/Object,Solanum tuberosum (Group Goniocalyx),Scarce ,Compressed ,Average,light brown,Purple,Splattered stains,Cream ,Absent,Absent   ,Decumbent,Green   ,Absent,4 pairs,3 pairs,0.47 kg,13,Intermediate,3600 - 4200 msnm,Susceptible,Susceptible,"Green, with few spots ",Lightly pigmented along length and joint,Moderate,Very rotated,deep purple,White,Acumen - underside    ,Without anthocyanins   ,Without anthocyanins  ,Purple,White,in buds   ,It is a rare variety that is planted in chaqru. Its name refers to the rings used by the pasñas in Huancavelica,,"Parboiled, chuño",Intermediate
Suytu Caramelo,1,Indirect/Food,Solanum tuberosum (Group Chaucha),Abundant ,Oblong-elongated ,Average,light brown,Red-purple,Scattered spots,Yellow ,Red,Few stains  ,Semi-erect,"Green, with many spots",Wavy,4 pairs,1 pair,0.23 kg,9,Early,3800 - 4300 msnm,Tolerant,Susceptible,"Green, with abundant spots ",Lightly pigmented along length and joint,Moderate,Rotated ,light purple,White,Acumen - underside    ,Pigmented bands   ,Pigmented inner ovary wall,Red,Absent,Absent    ,"It is planted in chaqru, but currently it is also planted separately for marketing due to the pigmentation of its pulp. It is a rare variety today, but it was common a few decades ago.",,"Parboiled, pachamanca",Short
Suytu Puqya,1,Indirect/Body parts,Solanum tuberosum (Group Stenotomum),Abundant ,Oblong reniform,Average,Medium brown,Red-purple,Splattered stains,Cream ,Absent,Absent   ,Decumbent,"Green, with few spots",Wavy,4 pairs,2 pairs,0.319 kg,10,Intermediate,4000 - 4200 msnm,Tolerant,Resistant,"Green, with few spots ",Lightly pigmented along length and joint,Scarce,Rotated ,pale white,Absent,Absent      ,Without anthocyanins   ,Without anthocyanins  ,Purple,White,in buds   ,"It is a very rustic variety, and according to farmers “it always produces.” It has narrow leaflets that resemble those of oregano, a factor that possibly helps it tolerate frost and frost. Tubers can be stored for up to 9 months; They get richer and sweeter with time",,"Parboiled, pachamanca, the leaves and tuber are used in soups",Intermediate
Suytu Shiri,2,Direct/Tuber Shape,Solanum juzepczukii  ,Scarce ,flattened oblong,Average,light brown,Purple,Few stains,White ,Absent,Absent   ,semi-roseate,Green with many spots,Wavy,6 pairs,1 pair,0.56 kg,14,Intermediate,3900 - 4300 msnm,Resistant,Resistant,Green with abundant spots ,Fully pigmented     ,Scarce,Pentagonal ,light violet,Absent,Absent      ,Without anthocyanins   ,Without anthocyanins  ,Purple,White,at apex   ,"Typical variety of the area, it is very robust against frost. It is a bitter potato used especially to make chuño and, sometimes, also to prepare soups. This variety is used to treat kidney and prostate diseases. To do this, the tuber must be peeled, dried, ground and then mixed with a little water and drunk. It can also be consumed in a smoothie. Its leaves are consumed in morón soup.",Health Benefits,"Chuño, soup, frying",Prolonged
Tika Wasi,2,Indirect/Object,Solanum tuberosum (Group Andigenum),Scarce ,Flattened round,Outstanding,light brown,Red,Few stains,Cream ,Absent,Absent   ,Decumbent,"Green, with few spots",Wavy,3 pairs,1 pair,0.58 kg,13,Late,3300 - 4000 msnm,Tolerant,Susceptible,"Green, with few spots ",Lightly pigmented along length and joint,Moderate,Very rotated,light purple,White,Acumen - both (beam and underside) ,Without anthocyanins   ,Without anthocyanins  ,White,Pink,At base   ,The tubers of this variety are mealy and have smooth skin. Some farmers use them to prepare potato dumplings. This variety is in demand in the regional markets of Huancavelica.,,"Parboiled, stews, soups, chuño, puree",Short
Traqin Waqachi,5,Indirect/Human action,Solanum tuberosum (Group Andigenum),Abundant ,Compressed ,Average,Intense red-purple,Red,Splattered stains,White ,Purple,Purple   ,Decumbent,"Green, with few spots",Straight,5 pairs,3 pairs,0.56 kg,25,Early,3800 - 4200 msnm,Tolerant,Susceptible,"Pigmented, with little green ",Lightly pigmented along length and joint,Scarce,Pentagonal ,Intermediate purple,Absent,Absent      ,Without anthocyanins   ,Pigmented stigma and inner ovary wall,Violet,Absent,Absent    ,"This variety produces abundant tubers and that is why farmers say that when they carry the entire harvest in their clothing (aprons, suits), they break and make the owners of the farm cry. It has commercial demand in the regional markets of Huancavelica and is mainly used to exchange it for meat and other products.","Commercial and Barter, Personhood (makes others cry)","Parboiled, soups, chuño",Intermediate
Tuqu,2,Indirect/Animal,Solanum tuberosum (Group Andigenum),Scarce ,Compressed ,Average,Intense red-purple,Brown,Splattered stains,Cream ,Absent,Absent   ,Semi-erect,"Green, with few spots",Straight,5 pairs,2 pairs,0.60 kg,19,Intermediate,3000 - 4000 msnm,Susceptible,Susceptible,"Green, with abundant spots ",Lightly pigmented along length and joint,Scarce,Rotated ,light purple,White,Acumen - both (beam and underside) ,Without anthocyanins   ,Pigmented inner ovary wall,Violet,White,at apex   ,"The shape of the tubers of this variety resembles an owl, hence its name. The color of the skin of the tuber is the color of donkey leather, which is why it is also called asnupa karan (leather). It is commonly used in soups due to its long cooking time.",,"Parboiled, soups, chuño",Prolonged
Uqi Palta,2,Direct/Tuber Shape,Solanum tuberosum (Group Andigenum),Abundant ,Flattened round,Average,light brown,Red-purple,Splattered stains,light yellow,Absent,Absent   ,Semi-erect,"Green, with few spots",Straight,3 pairs,2 pairs,0.76 kg,15,Intermediate,4000 - 4200 msnm,Susceptible,Susceptible,"Green, with few spots ",Lightly pigmented along length and joint,Moderate,Rotated ,deep purple,White,Acumen - both (beam and underside) ,Pigmented bands   ,Pigmented inner ovary wall,Purple,White,in buds   ,It is an old variety that is usually planted predominantly in chaqru. The fact that it is flat helps to step on it when preparing chuño (it doesn't hurt your feet). It is resistant to weevils because it is mealy.,,"Parboiled, chuño",Intermediate
Uqi Suytu,1,Direct/Tuber Shape,Solanum tuberosum (Group Goniocalyx),Common ,Oblong-elongated concertinate,Average,Intermediate red-purple,Absent,Absent ,Cream ,Absent,Absent   ,Semi-erect,"Green, with many spots",Wavy,4 pairs,2 pairs,0.5 kg,11,Intermediate,3800 - 4200 msnm,Tolerant,Resistant,"Pigmented, with abundant green ",Lightly pigmented along length and joint,Moderate,Rotated ,light purple,Absent,Absent      ,Without anthocyanins   ,Pigmented inner ovary wall,Red,Absent,Absent    ,"This variety does not have good production in the highest area, it has to be planted in the middle part. Its texture is floury and has a pleasant flavor.",,"Parboiled, pachamanca, chuño",Intermediate
Uqi Wacapa Qallun,1,Indirect/Animal and Color,Solanum tuberosum (Group Andigenum),Very scarce,flattened oblong,Superficial,Intense red-purple,Absent,Absent ,Cream ,Absent,Absent   ,Semi-erect,"Pigmented, with abundant green",Straight,5 pairs,2 pairs,0.67 kg,5,Intermediate,3800 - 4000 msnm,Tolerant,Susceptible,"Green, with abundant spots ",Lightly pigmented along length and joint,Moderate,Rotated ,light purple,White,Acumen - underside    ,Pigmented bands   ,Pigmented inner ovary wall,Purple,White,at apex   ,"The tubers are watery and, indeed, their dry matter content is low. Its shape resembles the tongue of a cow, which is why it is called wakapa qallun. There are other variants of the wakapa qallun, even reddish in color.",,"Parboiled, chuño, soups, stews",Intermediate
Utulupa Runtun,1,Indirect/Body parts,Solanum tuberosum (Group Andigenum),Scarce ,Oblong ,Average,Medium brown,Red-purple,Splattered stains,Cream ,Absent,Absent   ,Decumbent,Green   ,Wavy,4 pairs,2 pairs,0.82 kg,12,Intermediate,3700 - 4200 msnm,Susceptible,Susceptible,"Pigmented, with abundant green ",Lightly pigmented along length and joint,Moderate,Pentagonal ,light purple,White,Acumen - both (beam and underside) ,Without anthocyanins   ,Without anthocyanins  ,Purple,White,in buds   ,This variety is so called because the shape and color of its tubers resemble the testicles of the rooster. It is a myth that the rooster lays an egg and that a good or bad event can happen.,,"Parboiled, chuño",Intermediate
Wakapa Rurun,2,Indirect/Body parts,Solanum tuberosum (Group Chaucha),Very scarce,Round ,Average,light yellow,Red-purple,Scattered spots,Yellow ,Absent,Absent   ,Decumbent,Green   ,Straight,3 pairs,1 pair,0.9 kg,19,Intermediate,3300 - 4000 msnm,Tolerant,Susceptible,"Green, with few spots ",Lightly pigmented along length and joint,Moderate,Rotated ,deep purple,White,Acumen - underside    ,Without anthocyanins   ,Without anthocyanins  ,Red,White,at apex   ,"It is planted both in chaqru and in plots dedicated exclusively to this variety. It is not very commercial, but it is usually found at some fairs. It is a rustic variety against frost. It is very delicate to make chuño, as it falls apart easily.",,"Parboiled, chuño",Intermediate
Wamanpa Uman,2,Indirect/Body parts,Solanum tuberosum (Group Andigenum),Scarce ,Round ,Superficial,deep brown,Purple,Scattered spots,Yellow ,Absent,Absent   ,Decumbent,"Green, with many spots",Wavy,4 pairs,1 pair,1.4 kg,14,Intermediate,3700 - 4200 msnm,Tolerant,Resistant,"Pigmented, with abundant green ",Lightly pigmented along length and joint,Moderate,Rotated ,Intermediate purple,Absent,Absent      ,Pigmented bands   ,Pigmented inner ovary wall,Violet,White,at apex   ,It is a variety whose tubers resemble the head of an eagle. It is planted only in chaqru. It has a pleasant flavor.,,"Parboiled, chuño, soup",Intermediate
Wanka Lliclla,2,Indirect/Object,Solanum tuberosum (Group Andigenum),Abundant ,Flattened round,Average,Medium brown,Red-purple,Scattered spots,Cream ,Absent,Absent   ,Decumbent,"Green, with many spots",Wavy,5 pairs,2 pairs,0.63 kg,19,Late,3800 - 4200 msnm,Susceptible,Resistant,"Green, with abundant spots ",Lightly pigmented along length and joint,Moderate,Pentagonal ,light purple,Absent,Absent      ,Without anthocyanins   ,Without anthocyanins  ,Purple,White,Many stains throughout,"This variety is used to parboil, fry, make chuño, watya and to prepare merenday, a typical dish in some commitments that consists of parboiling the potato, crumbling it and serving it with a dressing. When exposed to the sun its flavor changes: it stings a lot, so it is stored in places where sunlight does not hit it. In Chuño, this variety is floury.",,"Parboiled, fried, chuño, watya, soups, stews, dried potatoes",Prolonged
Wayru Peruana,4,Indirect/Object,Solanum tuberosum (Group Chaucha),Scarce ,Oval ,Deep,light yellow,Red,Scattered spots,Cream ,Red,narrow vascular ring ,Decumbent,"Green, with few spots",Straight,4 pairs,1 pair,0.55 kg,20,Late,3800 - 4300 msnm,Susceptible,Susceptible,"Green, with abundant spots ",Lightly pigmented along length and joint,Scarce,Rotated ,Intermediate purple,White,Acumen - underside    ,Without anthocyanins   ,Pigmented inner ovary wall,Red,White,Few stains throughout,"This variety is floury, it is planted in chaqru and consumers prefer it for its pleasant flavor",,"Parboiled, mashed, huancaína potato, chuño, soup",Intermediate
Wayta Jarro,2,Indirect/Object,Solanum tuberosum (Group Stenotomum),Scarce ,Elongate ,Superficial,Medium brown,Red-purple,Scattered spots,Cream ,Red,Vascular ring and medulla,Decumbent,"Green, with few spots",Wavy,5 pairs,2 pairs,0.15 kg,8,Intermediate,4000 - 4200 msnm,Tolerant,Susceptible,"Green, with abundant spots ",Lightly pigmented along length and joint,Moderate,Rotated ,Intense red-purple,Absent,Absent      ,Without anthocyanins   ,Pigmented inner ovary wall,Red,White,Many stains throughout,"This native variety does not resist movement, once harvested it must be moved carefully and stored in a dry place and only remove the tubers that are going to be used, whether for consumption, sale or to process chuño.",,"Parboiled, soup, porridge, chuño",Intermediate
Wira Pasña,3,Indirect/Person,Solanum tuberosum (Group Chaucha),Infrequent,Round ,Deep,Intense red-purple,Absent,Absent ,Cream ,Red,splashed   ,Semi-erect,Reddish   ,Wavy,4 pairs,2 pairs,0.95 kg,15,Intermediate,3100 - 4000 msnm,Susceptible,Susceptible,"Pigmented, with abundant green ",Lightly pigmented along length and joint,Moderate,Rotated ,light purple,Absent,Absent      ,Without anthocyanins   ,Without anthocyanins  ,Red,White,in buds   ,"This variety is planted in chaqru, it is scarce. It is only found in the custodians' farms.",,Parboiled,Short
Wistupa Runtun,2,Indirect/Body parts,Solanum tuberosum (Group Andigenum),Scarce ,Flattened round,Deep,Intense red-purple,Blackish,Splattered stains,Cream ,Red,narrow vascular ring ,Decumbent,"Green, with few spots",Straight,5 pairs,2 pairs,0.68 kg,30,Late,3800 - 4100 msnm,Susceptible,Susceptible,"Green, with abundant spots ",Lightly pigmented along length and joint,Moderate,Very rotated,Intermediate purple,White,Acumen - both (beam and underside) ,Pigmented bands   ,Pigmented inner ovary wall,Violet,White,at apex   ,"It is a variety for various uses. Especially to prepare papa “machurra” which is the potato that is soaked and then frozen overnight, peeled, washed and cooked immediately. It is prepared only in the frost season. It is eaten between June and July. It has a semi-floury texture and a pleasant flavor.",,"Parboiled, soups, stews, chuño, machurra (frozen potato)",Intermediate
Witqis,3,Indirect/Body parts,Solanum tuberosum (Group Chaucha),Abundant ,Oblong ,Average,light purple,Brown,like glasses,Cream ,Absent,Absent   ,Semi-erect,"Green, with few spots",Wavy,3 pairs,1 pair,0.54 kg,13,Intermediate,4000 - 4200 msnm,Tolerant,Susceptible,"Pigmented, with abundant green ",Lightly pigmented along length and joint,Moderate,Very rotated,Intermediate violet,White,Acumen - underside    ,Without anthocyanins   ,Without anthocyanins  ,Purple,White,in buds   ,"This is a well-known variety throughout Huancavelica, although with different names. Its quality is extraordinary. It is planted mostly in chaqru. It is highly appreciated for bartering with other products.",Barter,"Parboiled, Pachamanca",Intermediate
Witu,2,Indirect/Object,Solanum tuberosum (Group Goniocalyx),Infrequent,nailed obovate,Superficial,deep brown,Absent,Absent ,Cream ,Absent,Absent   ,Decumbent,Green   ,Straight,5 pairs,1 pair,0.84 kg,9,Early,3500 - 4000 msnm,Tolerant,Resistant,"Green, with few spots ",Green      ,Moderate,Very rotated,intermediate lilac,White,Acumen - underside    ,Without anthocyanins   ,Without anthocyanins  ,Violet,White,in buds   ,"It is a variety that is planted separately due to its commercial value. According to farmers, care must be taken when cooking it because if it is left to boil for too long it will fall apart and can no longer be eaten. It is a variety that tends to bud early, flower earlier than other varieties and maintain flowering almost until harvest.",Commercial,"Parboiled, pachamanca, soup, stew, puree",Short
Yaku Ñawi,2,Indirect/Body parts,Solanum tuberosum (Group Andigenum),Infrequent,Flattened round,Superficial,Intermediate yellow,Absent,Absent ,Cream ,Absent,Absent   ,Semi-erect,Green   ,Straight,6 pairs,3 pairs,0.69 kg,15,Intermediate,3900 - 4000 msnm,Tolerant,Susceptible,"Green, with abundant spots ",Lightly pigmented along length and joint,Moderate,Rotated ,Intermediate purple,White,Acumen - both (beam and underside) ,Without anthocyanins   ,Without anthocyanins  ,White,Violet,Many stains throughout,"The tubers of this variety are floury and are in demand in the markets of Huancavelica. According to farmers, the cultivation of this variety also adapts very well to relatively low areas (3000 - 3300 meters above sea level). The appearance of the tuber is luqlu (watery), but when parboiled it is floury.",,Parboiled,Short
Yana Butijuela,1,Indirect/Object,Solanum tuberosum (Group Andigenum),Scarce ,Flattened round,Superficial,Intermediate yellow,Absent,Absent ,Cream ,Absent,Absent   ,Decumbent,Green   ,Absent,5 pairs,1 pair,0.60 kg,15,Intermediate,3400 - 4000 msnm,Tolerant,Tolerant,"Green, with few spots ",Lightly pigmented along length and joint,Scarce,Rotated ,light purple,White,Acumen - underside    ,Without anthocyanins   ,Pigmented inner ovary wall,Purple,White,in buds   ,"It is a native variety that is planted in chaqru and is not recommended for preparing chuño because it has a thick shell making it difficult to peel, as it breaks easily.",,"Pachamanca, parboiled, soup, papa llinca, chuño",Short
Yana Camotillo,1,Indirect/Crop and Color,Solanum tuberosum (Group Andigenum),Infrequent,Oblong-elongated ,Average,Intense red-purple,Blackish,Splattered stains,Cream ,Purple,narrow vascular ring ,Decumbent,"Green, with few spots",Wavy,4 pairs,2 pairs,0.57 kg,10,Intermediate,3900 - 4300 msnm,Tolerant,Susceptible,"Green, with abundant spots ",Pigmented under joint    ,Moderate,Rotated ,Intermediate purple,White,Acumen - both (beam and underside) ,Pigmented bands   ,Pigmented inner ovary wall,Purple,White,at apex   ,It is a native variety introduced from Andahuaylas by the NGO San Javier. It has a thick shell and has spots as if someone had walked on it.,Introduced by NGOs,"Parboiled, chuño, soups, stews",Intermediate
Yana Caramelo,1,Indirect/Food and Color,Solanum tuberosum (Group Chaucha),Scarce ,Oblong ,Average,Intense blackish,Brown,Scattered spots,White ,Absent,Absent   ,Decumbent,"Green, with few spots",Straight,5 pairs,2 pairs,0.69 kg,9,Intermediate,4100 - 4200 msnm,Susceptible,Susceptible,"Green, with abundant spots ",Lightly pigmented along length and joint,Moderate,Rotated ,light purple,White,Acumen - underside    ,Pigmented bands   ,Pigmented inner ovary wall,Purple,White,at apex   ,"It is a variety that is planted in a mixture or chaqru. It is preserved only by some custodians, due to its pleasant flavor and is also used to exchange for food products. In the past, these potatoes were taken parboiled to the countryside to use as a snack, but today few farmers practice that tradition.",Barter,"Parboiled, chuño, soup, potato llinca",Short
Yana Caspa Sara,1,Indirect/Crop and Color,Solanum tuberosum (Group Andigenum),Scarce ,tuberosized oblong,Superficial,deep purple,Blackish,Splattered stains,White ,Violet,Vascular ring and medulla,Decumbent,"Green, with few spots",Straight,5 pairs,2 pairs,0.37 kg,13,Intermediate,3800 - 4000 msnm,Tolerant,Resistant,"Green, with abundant spots ",Lightly pigmented along length and joint,Scarce,Rotated ,Intermediate purple,White,Acumen - underside    ,Without anthocyanins   ,Without anthocyanins  ,Violet,Absent,Absent    ,"This variety has a semi-floury texture and belongs to the Gaspar group. When eaten parboiled, it paints the tongue and lips due to the pigment contained in its pulp.",,Parboiled,Intermediate
Yana Gaspar,1,Direct/Tuber Color,Solanum tuberosum (Group Andigenum),Scarce ,tuberous tablet,Average,deep purple,Blackish,Splattered stains,White ,Absent,Absent   ,Decumbent,"Green, with few spots",Straight,4 pairs,2 pairs,0.82 kg,21,Late,3200 - 4000 msnm,Tolerant,Susceptible,"Green, with abundant spots ",Lightly pigmented along length and joint,Scarce,Rotated ,deep purple,Absent,Absent      ,Without anthocyanins   ,Without anthocyanins  ,Violet,Absent,Absent    ,"The tubers of this variety are highly appreciated by Huancavelican families. In the Chopcca community they used it in marriage proposals and in marriages when it is prepared, the typical dish saqta mati (with potato Gaspar and llama meat).",Family consumption,"Parboiled, pachamanca, chuño",Short
Yana Huayro,1,Direct/Tuber Color,Solanum tuberosum (Group Chaucha),Scarce ,Concertinate oblong,Deep,Intense blackish,Absent,Absent ,Yellow ,Absent,Absent   ,Decumbent,"Pigmented, with little green",Wavy,4 pairs,2 pairs,0.70 kg,15,Intermediate,3900 - 4300 msnm,Susceptible,Susceptible,"Pigmented, with little green ",Lightly pigmented along length and joint,Moderate,Rotated ,deep purple,Absent,Absent      ,Pigmented bands and apex ,Without anthocyanins  ,Purple,Absent,Absent    ,It is a native variety with a very floury texture. Farmers in the communities of Huancavelica exchange this variety with other products from the low areas or for processed products.,,"Parboiled, pachamanca, chuño, puree",Short
Yana Llumchuy Waqachi,1,Indirect/Custom and Color,Solanum tuberosum (Group Andigenum),Common ,tuberosized oblong,Deep,deep purple,Blackish,Splattered stains,White ,Absent,Absent   ,Decumbent,"Green, with many spots",Straight,5 pairs,3 pairs,0.89 kg,25,Late,3800 - 4000 msnm,Tolerant,Susceptible,"Green, with abundant spots ",Lightly pigmented along length and joint,Scarce,Rotated ,light purple,White,Acumen - underside    ,Pigmented bands   ,Pigmented inner ovary wall,Violet,Absent,Absent    ,"It is a variety of the llumchuy waqachi with black skin, which wrinkles quickly making it sensitive to rot and also to movement. In the past, these tubers were used to test the ability of girls who would be daughters-in-law to peel them, hence their name in Quechua; only those who passed the test could get married. Currently this custom is no longer practiced.",Daughters-in-law challenge,"Parboiled, chuño, pachamanca",Short
Yana Markina,3,Direct/Tuber Color,Solanum tuberosum (Group Chaucha),Scarce ,Compressed ,Deep,light purple,Blackish,Scattered spots,White ,Violet,narrow vascular ring ,Erect,"Green, with many spots",Straight,4 pairs,2 pairs,0.89 kg,11,Intermediate,3900 - 4100 msnm,Susceptible,Susceptible,"Green, with few spots ",Lightly pigmented along length and joint,Moderate,Rotated ,Intermediate purple,White,Acumen - both (beam and underside) ,Without anthocyanins   ,Pigmented stigma inner wall ovary,Violet,White,In long buds  ,"It is an old variety that has been cultivated since the time of our grandparents. In the Chopcca region, the tubers are usually used to prepare the Easter Sunday cold meat during Holy Week. It is frequently planted in chaqru.",Festivities,"Parboiled, pachamanca, chuño",Short
Yana Ñata,0,Direct/Tuber Color and Shape,Solanum tuberosum (Group Andigenum),Abundant ,Compressed ,Average,deep purple,Absent,Absent ,Cream ,Absent,Absent   ,Semi-erect,"Green, with many spots",Straight,4 pairs,2 pairs,0.42 kg,14,Intermediate,3300 - 4000 msnm,Susceptible,Susceptible,"Pigmented, with little green ",Fully pigmented     ,Scarce,Rotated ,Intermediate purple,Absent,Absent      ,Pigmented bands   ,Without anthocyanins  ,Violet,Absent,Absent    ,"Ñata is a term used for the compressed shape of the tuber, which resembles a flattened nose. It is planted mostly in chaqru.",,"Parboiled, chuño",Short
Yana Oca,1,Indirect/Crop and Color,Solanum tuberosum (Group Andigenum),Scarce ,Oblong-elongated concertinate,Superficial,Intense blackish,Red-purple,on eyebrows,Cream ,Red,splashed   ,Decumbent,"Green, with many spots",Straight,3 pairs,1 pair,0.63 kg,6,Intermediate,3400 - 4000 msnm,Susceptible,Susceptible,"Green, with few spots ",Pigmented under joint    ,Moderate,Rotated ,Intermediate purple,White,Acumen - both (beam and underside) ,Apex pigmented spot  ,Pigmented inner ovary wall,Purple,White,at apex   ,"It is a scarce variety, which is only planted in chaqru. Its texture is semi-floury and its flavor is not very pleasant. It does not resist movement, so it must be moved very carefully.",,"Parboiled, chuño, soup",Intermediate
Yana Palta,1,Direct/Tuber Color and Shape,Solanum tuberosum (Group Andigenum),Scarce ,flattened oblong,Superficial,Intense blackish,Purple,Splattered stains,Cream ,Absent,Absent   ,Decumbent,Purple   ,Wavy,3 pairs,1 pair,1.00 kg,19,Intermediate,3800 - 4300 msnm,Tolerant,Susceptible,"Green, with abundant spots ",Lightly pigmented along length and joint,Scarce,Pentagonal ,Intermediate purple,White,Acumen - underside    ,Pigmented bands and apex ,Pigmented inner ovary wall,Purple,White,at apex   ,It is a variety that is only planted in chaqru; It is grown for consumption by the farmers themselves. Its tubers are used for exchanges and for sale in the local market. Its texture is semi-watery.,Barter and Family consumption,"Parboiled, stews, soups and chuño",Intermediate
